epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,833.538,2.96077,3.0245,2.7641,0.00329,0.64706,0.02319,0.00985,3.18636,3.71875,3.21306,0.0017294,0.0017294,0.0017294
43,851.733,3.05569,3.02087,2.79457,0.12421,0.05882,0.07381,0.02879,3.08872,3.5394,3.12368,0.0017228,0.0017228,0.0017228
44,870.062,3.18832,3.17308,2.77426,0.05786,0.11765,0.04082,0.00965,3.02522,3.62286,3.18584,0.0017162,0.0017162,0.0017162
45,888.412,2.90197,3.24683,2.7363,0.05786,0.11765,0.04082,0.00965,3.02522,3.62286,3.18584,0.0017096,0.0017096,0.0017096
46,906.632,2.96755,2.89381,2.81334,0.01099,0.29412,0.02198,0.00762,3.07806,3.4671,3.22857,0.001703,0.001703,0.001703
47,924.58,3.03172,3.1331,2.82793,0.13216,0.05882,0.03197,0.01302,3.06721,3.45305,3.17611,0.0016964,0.0016964,0.0016964
48,942.78,2.90556,2.80283,2.704,0.13122,0.05882,0.03568,0.01537,3.02584,3.52442,3.14082,0.0016898,0.0016898,0.0016898
49,963.798,2.9918,3.06849,2.7496,0.13122,0.05882,0.03568,0.01537,3.02584,3.52442,3.14082,0.0016832,0.0016832,0.0016832
50,986.706,2.82803,2.79971,2.60368,0.10398,0.05882,0.03299,0.0153,3.01363,3.4559,3.06148,0.0016766,0.0016766,0.0016766
51,1004.97,2.78902,2.81273,2.62265,0.32481,0.05882,0.08415,0.03853,2.98379,3.2816,3.04598,0.00167,0.00167,0.00167
52,1023.29,2.84593,2.87142,2.65769,0.14304,0.11765,0.11517,0.04734,2.95354,2.99492,3.0448,0.0016634,0.0016634,0.0016634
53,1041.4,2.62687,2.77163,2.60248,0.14304,0.11765,0.11517,0.04734,2.95354,2.99492,3.0448,0.0016568,0.0016568,0.0016568
54,1059.52,2.74094,2.67645,2.6134,0.96062,0.11765,0.18039,0.08439,2.88764,2.7196,3.10943,0.0016502,0.0016502,0.0016502
55,1077.79,2.94314,2.69703,2.69251,0.14647,0.29412,0.19626,0.09091,2.91154,2.62029,3.07281,0.0016436,0.0016436,0.0016436
56,1095.94,2.82552,2.67084,2.6645,0.19777,0.30487,0.20652,0.08075,2.86981,2.56043,3.00763,0.001637,0.001637,0.001637
57,1114.12,2.93441,2.56083,2.63255,0.19777,0.30487,0.20652,0.08075,2.86981,2.56043,3.00763,0.0016304,0.0016304,0.0016304
58,1132.74,2.83088,2.53019,2.65219,0.28761,0.52266,0.25896,0.0905,2.70972,2.40633,2.98728,0.0016238,0.0016238,0.0016238
59,1150.77,2.75198,2.49566,2.55235,0.23663,0.29412,0.20125,0.0681,2.72999,2.32319,3.03385,0.0016172,0.0016172,0.0016172
60,1168.79,2.87861,2.65474,2.5616,0.18757,0.41176,0.18032,0.05777,2.7466,2.38814,3.13221,0.0016106,0.0016106,0.0016106
61,1186.93,2.93568,2.6072,2.58783,0.18757,0.41176,0.18032,0.05777,2.7466,2.38814,3.13221,0.001604,0.001604,0.001604
62,1204.91,2.7014,2.61815,2.68604,0.18626,0.41176,0.16358,0.05268,2.75898,2.37249,3.072,0.0015974,0.0015974,0.0015974
63,1222.97,2.86212,2.50801,2.68924,0.4057,0.41176,0.24687,0.08128,2.63501,2.35023,2.888,0.0015908,0.0015908,0.0015908
64,1242.26,2.77822,2.53114,2.47876,0.53205,0.29412,0.31785,0.11912,2.56801,2.32639,2.82512,0.0015842,0.0015842,0.0015842
65,1260.35,2.72952,2.9302,2.68451,0.53205,0.29412,0.31785,0.11912,2.56801,2.32639,2.82512,0.0015776,0.0015776,0.0015776
66,1279.34,2.75268,2.49676,2.55604,0.34927,0.4427,0.26281,0.10902,2.46173,2.30113,2.76102,0.001571,0.001571,0.001571
67,1297.45,2.61225,2.75693,2.68324,0.39487,0.52941,0.39185,0.10665,2.51583,2.2688,2.79075,0.0015644,0.0015644,0.0015644
68,1315.8,2.55994,2.37246,2.48925,0.39369,0.64706,0.32692,0.09816,2.61308,2.4989,2.91446,0.0015578,0.0015578,0.0015578
69,1333.99,2.68357,2.69807,2.51839,0.39369,0.64706,0.32692,0.09816,2.61308,2.4989,2.91446,0.0015512,0.0015512,0.0015512
70,1352.03,2.80863,2.4663,2.5821,0.40434,0.47059,0.37977,0.12226,2.6578,2.47245,2.92162,0.0015446,0.0015446,0.0015446
71,1370.36,2.88333,2.37855,2.59662,0.35068,0.41176,0.38281,0.13207,2.6341,2.46129,2.89545,0.001538,0.001538,0.001538
72,1388.48,2.70823,2.52875,2.56354,0.37557,0.60185,0.41333,0.13823,2.57907,2.38862,2.89369,0.0015314,0.0015314,0.0015314
73,1406.7,2.61571,2.45132,2.56371,0.37557,0.60185,0.41333,0.13823,2.57907,2.38862,2.89369,0.0015248,0.0015248,0.0015248
74,1424.93,2.66427,2.27092,2.5245,0.52146,0.35294,0.46192,0.15822,2.5189,2.3833,2.87614,0.0015182,0.0015182,0.0015182
75,1443.52,2.61841,2.22252,2.44276,0.5677,0.29412,0.38917,0.16149,2.41929,2.26289,2.77279,0.0015116,0.0015116,0.0015116
76,1461.86,2.53654,2.28538,2.57777,0.35394,0.47059,0.42065,0.1656,2.49051,2.12801,2.78462,0.001505,0.001505,0.001505
77,1479.88,2.58377,2.2687,2.5827,0.35394,0.47059,0.42065,0.1656,2.49051,2.12801,2.78462,0.0014984,0.0014984,0.0014984
78,1498.32,2.66663,2.48414,2.69197,0.33426,0.35294,0.29672,0.10183,2.56187,2.38767,2.75426,0.0014918,0.0014918,0.0014918
79,1516.27,2.4678,2.19366,2.42697,0.37689,0.35294,0.40718,0.13061,2.57648,2.12722,2.8004,0.0014852,0.0014852,0.0014852
80,1534.54,2.5625,2.28585,2.36865,0.35048,0.47634,0.36969,0.14395,2.50909,2.05,2.80214,0.0014786,0.0014786,0.0014786
81,1552.7,2.46722,2.15906,2.30389,0.35048,0.47634,0.36969,0.14395,2.50909,2.05,2.80214,0.001472,0.001472,0.001472
82,1571.12,2.43939,2.23621,2.42542,0.3678,0.47059,0.37691,0.16974,2.51351,2.25433,2.70604,0.0014654,0.0014654,0.0014654
83,1589.56,2.6384,2.12521,2.46756,0.37261,0.47059,0.38698,0.15929,2.53888,2.16079,2.65177,0.0014588,0.0014588,0.0014588
84,1607.77,2.35271,2.1797,2.34774,0.32475,0.47059,0.35682,0.16999,2.39579,2.36222,2.61739,0.0014522,0.0014522,0.0014522
85,1625.67,2.47338,2.15034,2.35636,0.32475,0.47059,0.35682,0.16999,2.39579,2.36222,2.61739,0.0014456,0.0014456,0.0014456
86,1643.85,2.37118,2.07633,2.37605,0.35908,0.47059,0.37326,0.16999,2.31515,2.57015,2.63029,0.001439,0.001439,0.001439
87,1661.8,2.41739,2.0519,2.30546,0.4868,0.41176,0.41294,0.1687,2.351,2.51533,2.65724,0.0014324,0.0014324,0.0014324
88,1680.21,2.29775,2.17401,2.42502,0.54645,0.35294,0.41889,0.17549,2.42743,2.58315,2.64141,0.0014258,0.0014258,0.0014258
